,Raw name,Mapped name,Score
343,acatech deutsche akademie,acatech deutsche akademie,1.0
344,acatech hauptstadtbuero,acatech deutsche akademie,0.7403846153846154
345,acb,acb,1.0
346,acb sas,acb,1.0
347,acb solutions,acb,1.0
348,acc,acc,1.0
349,acc ingenierie,acc ingenierie,0.7
350,accede atout,accede atout,1.0
351,acceed gmbh,acceed gmbh,1.0
352,accellonet,accellonet,1.0
353,accellonet consulting gmbh,accellonet,1.0
354,accelmedia,accelmedia,1.0
355,accelonix,accelonix,1.0
356,accelonix ltd,accelonix,1.0
357,accemic gmbh  co kg,accemic gmbh  co kg,1.0
358,accemic technologies gmbh,accemic gmbh  co kg,1.0
359,accent johnston limousine inc,accent johnston limousine inc,1.0
360,accent languages,accent johnston limousine inc,0.7659574468085105
361,accenture,accenture,1.0
362,accenture bv,aan bv,0.7589484078005431
363,accenture gmbh,accenture,1.0
364,accenture llp,aaron  partners llp,0.6408339049375358
365,accenture sl,accenture,1.0
366,accenture sas,accenture,1.0
367,accenture services france,accenture,1.0
368,accenture sl,accenture,1.0
369,accenture uk limited,accenture,1.0
370,acces matic sud,acces matic sud,1.0
371,accesos normalizados,accesos normalizados sl,1.0
372,access communications,aa access partnership,0.8539325842696629
373,access engineering services ltd,aa access partnership,1.0
374,access ev,aa access partnership,1.0
375,access france,aa access partnership,1.0
376,access intelligence llc,aa access partnership,0.8111888111888111
377,access kellyocg gmbh,aa access partnership,0.934453781512605
378,accessdata group inc,accessdata group inc,1.0
379,accessory fulfillment center llc,accessory fulfillment center llc,1.0
380,acciaris,acciaris,1.0
381,acciona,acciona,1.0
382,acciona facility services,acciona,0.7105263157894737
383,acciona infraestructuras sa,acciona,0.8376237623762376
384,accipio,accipio,1.0
385,accon avm,accon avm,1.0
386,accon avm accountants bv,aan bv,0.8028436018957347
387,accor,accor,1.0
388,accor hospitality germany gmbh,accor hospitality germany gmbh,0.7824620573355817
389,accorhotels germany gmbh,accor hospitality germany gmbh,0.9492231906025009
390,accorinvest germany gmbh,accor hospitality germany gmbh,0.8617131062951496
391,accorinvest spain sa,accorinvest spain sa,0.7717996289424861
392,account center llp,accessory fulfillment center llc,0.4903409795412275
393,accounting  tax offices,accounting  tax offices,1.0
394,accu pemar sl,accu pemar sl,1.0
395,accu pemar sl,accu pemar sl,1.0
396,accu vertrieb sd gmbh,accu pemar sl,0.5397796817625459
397,accudyne engineering  equipment,accudyne engineering  equipment,1.0
398,accudyne systems inc,accudyne engineering  equipment,1.0
399,accufleet,accufleet,1.0
400,accufleet testing services,accufleet,0.5968379446640316
401,accupemar sl,accupemar sl,1.0
402,accuracy,accuracy,1.0
403,accuracy beijing consulting co,accuracy,0.7171717171717171
404,accuracy sau,accuracy sau,0.6746987951807228
405,accurate cutting services limited,accurate cutting services limited,1.0
406,accurate cutting services ltd,accurate cutting services limited,1.0
407,accurex measurement inc,accurex measurement inc,1.0
408,accutrack systems llc,accutrack systems llc,1.0
409,ace advanced composite,ace advanced composite,1.0
410,ace education consulting co ltd,ace advanced composite,0.9383259911894272
411,ace engineering co ltd,ace advanced composite,1.0
412,ace engineering coltd,ace advanced composite,0.9383259911894272
413,ace european group ltd,ace advanced composite,0.8244147157190634
414,ace fire extinguisher serv inc,ace advanced composite,0.7481927710843373
415,ace fire extinguisher serv inc,ace advanced composite,0.7481927710843373
416,ace gmbh,ace advanced composite,1.0
417,ace handels und entwicklungs,ace advanced composite,0.9252336448598131
418,ace hotel,ao hotel and hostel,0.5875748502994012
419,ace industries inc,ace advanced composite,0.6435432230522945
420,ace ingenierie,ace advanced composite,0.7592697584760176
421,ace lifts ltd,ace advanced composite,0.9725806451612903
422,ace nl b.v,ace advanced composite,0.9423368740515934
423,ace parking lot 4250,ace advanced composite,0.890961262553802
424,ace stossdaempfer gmbh,ace advanced composite,0.9666666666666667
425,ace systems,ace advanced composite,1.0
426,ace timing,ace advanced composite,0.9703125
427,ace2i,ace2i,1.0
428,acecho seguridad sl,ãâudea seguridad de la informaciãânsl,0.8181818181818182
429,acellent technologies inc,acellent technologies inc,1.0
430,acens,acens,1.0
431,acent integration,acent integration,1.0
432,aceria,aceria,1.0
433,acesi,acesi,1.0
434,aceso mip,aceso mip,1.0
435,acf teambuilding and events,acf teambuilding and events,1.0
436,acf teambuilding and events ltd,acf teambuilding and events,1.0
437,acfci,acfci,1.0
438,acfitec,acfitec,1.0
439,acfitec sarl,acfitec,1.0
440,acfm,acfm,1.0
441,acfs,acfs,1.0
442,acft perfo sarl,acft perfo sarl,1.0
