,Raw name,Mapped name,Guess
466,aciturri composites slu,,ab servicos selecta espana slu
467,ackermann interntional,,ackermann interntional
468,aclabsur,,aclabsur
469,aclabsur slp,,aclabsur
470,aclawerke gmbh,,a arnegger gmbh
471,acm,,acm
472,acma ecars sl,,accesos normalizados sl
473,acma ecars sl,,accesos normalizados sl
474,acma gmbh,,a arnegger gmbh
475,acme industrieservice,,acme industrieservice
476,acmh  ateliers construction,,acmh  ateliers construction
477,acn,,acn
478,acobur asesores sl,,accesos normalizados sl
479,acolada,,acolada
480,acolada gmbh,,a arnegger gmbh
481,acompany,,acompany
482,acoris sarl,,abadie aluminium sarl
483,acorn industrial services ltd,,a  d environmental services ltd
484,acos printing,,acos printing
485,acoser maquinas de coser sl,,ãâudea seguridad de la informaciãânsl
486,acoustical analysis associates inc,,a and m portable inc
487,acp coaching,,acp coaching
488,acp spp,,acp coaching
489,acpi,,acpi
490,acq international bv,,a mai international
491,acq international bv,,a mai international
492,acqpa,,acqpa
493,acqua jet,,acqua jet
494,acquajet semae sl,,accesos normalizados sl
495,acquip inc,,a and m portable inc
496,acquisys,,acquisys
497,acr,,acr
498,acr chiller rent gmbh,,a arnegger gmbh
499,acra,,acra
500,acra control,,acra control
501,acra control limited,,a  t stationers private limited
502,acra control ltd,,a  d environmental services ltd
503,acra control ltd ta curtiss wright,,a  d environmental services ltd
504,acreo swedish ict ab,,ab engineering mechanical service division limited
505,acro demenagements,,acap demenagements
506,acrodur industrie,,acrodur industrie
507,acrolinx gmbh,,a arnegger gmbh
508,acs,,acs
509,acs coating systems gmbh,,a arnegger gmbh
510,acscontrolsystem gmbh,,a arnegger gmbh
511,acseo,,acseo
512,acsg gmbh  co kg,,a arnegger gmbh
513,acsia  agence comptable des,,academie des sciences
514,acsoft ltd,,a  d environmental services ltd
515,acss,,acss
516,acssi,,acssi
517,acsys lasertechnik gmbh,,a arnegger gmbh
518,acsysteme,,acsysteme
519,act administration limited,,a  t stationers private limited
520,act administration ltd,,a  d environmental services ltd
521,act administration,,act administration limited
522,act engineering,,ab engineering mechanical service division limited
523,act leadership llc,,aa calibration services llc
524,act rmc,,act administration limited
525,acte1,,acte1
526,acteis  scp davocats,,acteis  scp davocats
527,actemium fournie grospaud industrie,,acrodur industrie
528,actemium gtie atlantis,,actemium fournie grospaud industrie
529,actemium rennes,,actemium fournie grospaud industrie
530,actemium uk,,a e petsche uk limited
531,acti conseils,,acti conseils
532,actia,,actia
533,actia group,,accessdata group inc
534,actia telecom,,a novo telecom services
535,actian,,actian
536,actian france,,abb france
537,actian germany gmbh,,a arnegger gmbh
538,actice angelica cristian,,actice angelica cristian
539,acticom gmbh,,a arnegger gmbh
540,acticonseils,,acticonseils
541,actides water solutions gmbh,,a arnegger gmbh
542,actidyn,,actidyn
543,actidyn systemes,,actidyn systemes
544,actidyn systemes sa,,a foubert visserie sa
545,actif signal,,actif signal
546,actility sa,,a foubert visserie sa
547,actiman,,actiman
548,actiman location,,actiman
549,actiman sas,,ageo geometres experts sas
550,actimman,,actimman
551,actinuum,,actinuum
552,action  funtours,,action  funtours
553,action conseil demenagement,,ab conseil
554,action logement services,,a  d environmental services ltd
