,Raw name,Mapped name,Guess
1315,aim gmbh  gesellschaft fuer angewandte informatik,,a arnegger gmbh
1316,aim group international,,accessdata group inc
1317,aim infrarotmodule gmbh,,a arnegger gmbh
1318,aim mãnchen vertriebs gmbh,,a arnegger gmbh
1319,aim muenchen vertriebs gmbh,,a arnegger gmbh
1320,aim outsourcing consultants private,,aim
1321,aim uk,,a e petsche uk limited
1322,aimen,,aimen
1323,aimen  asociacion de investigacion metalurgica de,,ãâudea seguridad de la informaciãânsl
1324,aimess products gmbh,,a arnegger gmbh
1325,aimess services gmbh,,a arnegger gmbh
1326,aimgesellschaft f,,a2f advanced advisor for the f
1327,aimme,,aimme
1328,aimms bv,,aan bv
1329,aimplas,,aimplas
1330,aimplas  instituto tecnologico,,aimplas
1331,aimt sgi sas,,ageo geometres experts sas
1332,ain publicationsbusiness jet traveler,,ain publicationsbusiness jet traveler
1333,ain surfatec,,ain publicationsbusiness jet traveler
1334,aio,,aio
1335,aip,,aip
1336,aip consulting muenchen gmbh,,a arnegger gmbh
1337,aip sintex np group,,accessdata group inc
1338,aippi  deutsche landesgruppe der aippi,,aippi  deutsche landesgruppe der aippi
1339,aipssie,,aipssie
1340,ais,,ais
1341,ais group  talent development,,accessdata group inc
1342,ais group talent development sl,,accesos normalizados sl
1343,ais management,,aachen technical and management
1344,ais management gmbh,,a arnegger gmbh
1345,aisac inc,,a and m portable inc
1346,aisci ident systeme gmbh,,a arnegger gmbh
1347,aislamientos suaval,,aislamientos suaval
1348,aismt 13,,aismt 13
1349,aisp metra,,aisp metra
1350,ait austrian institute of,,aapa  association of asia pacific
1351,aitex,,aitex
1352,aitiip,,aitiip
1353,aix marseille universite,,aix marseille universite
1354,aixcellence gmbh,,a arnegger gmbh
1355,aj domaines sas,,ageo geometres experts sas
1356,aj field electrical and mechanical,,a and m portable inc
1357,aj field electrical ltd,,a  d environmental services ltd
1358,aj fromm praezisionsmaschinen gmbh,,a arnegger gmbh
1359,aj produkte,,aj domaines sas
1360,aj service,,ab engineering mechanical service division limited
1361,ajjk consulting limited,,a  t stationers private limited
1362,ajlevin company inc,,a and m portable inc
1363,ajpae,,ajpae
1364,ajs contracting,,ajs contracting
1365,aju incentive,,aju incentive
1366,ajuva safety,,abtech safety limited
1367,ajva  umzugs  transportlogistik gmbh,,a arnegger gmbh
1368,ajw group,,accessdata group inc
1369,ajw technique inc,,a and m portable inc
1370,ak,,ak
1371,ak produktionstechnik,,ak
1372,ak schweisstechnik gmbh,,a arnegger gmbh
1373,aka performance,,aka performance
1374,akademie aktiv gmbh,,a arnegger gmbh
1375,akademie der bayerischen presse ev,,acatech deutsche akademie
1376,akademie der deutschen medien,,acatech deutsche akademie
1377,akademie der deutschen medien ggmbh,,acatech deutsche akademie
1378,akademie f fuehrungskraefte,,acatech deutsche akademie
1379,akademie f internat rechnungs,,acatech deutsche akademie
1380,akademie f internat rechnungs,,acatech deutsche akademie
1381,akademie f internat rechnungs,,acatech deutsche akademie
1382,akademie f sekretariat und,,a millitzer brandschutz und
1383,akademie fãâ¼r lasersicherheit berlin,,acatech deutsche akademie
1384,akademie fãr fãhrungskrãfte,,acatech deutsche akademie
1385,akademie fãr lasersicherheit,,acatech deutsche akademie
1386,akademie fãr sekretariat und bãromanagement,,a millitzer brandschutz und
1387,akademie fuer fuehrungskraefte,,aba arbeitsgemeinschaft fuer betrieb
1388,akademie fuer innovatives management,,aba arbeitsgemeinschaft fuer betrieb
1389,akademie fuer internationale rechnungslegung,,aba arbeitsgemeinschaft fuer betrieb
1390,akademie fuer lasersicherheit,,aba arbeitsgemeinschaft fuer betrieb
1391,akademie fuer publizistik,,aba arbeitsgemeinschaft fuer betrieb
1392,akademie fuer sekretariat und bueromanagement,,a millitzer brandschutz und
1393,akademie fuer sicherheit,,aba arbeitsgemeinschaft fuer betrieb
1394,akademie fuer sozialmedizin berlin,,aba arbeitsgemeinschaft fuer betrieb
1395,akademie fuer wissenschaft,,aba arbeitsgemeinschaft fuer betrieb
1396,akademie fur die deutsche wirtschaft gmbh,,a arnegger gmbh
1397,akademie schoenbrunn,,acatech deutsche akademie
1398,akademiehotel rastede,,akademiehotel rastede
1399,akaflieg muenchen e v,,a e petsche
1400,akajoule,,akajoule
1401,akamai technologies sarl,,a2f technologies
1402,akappstemmann bv,,aan bv
1403,akbevent gmbh  cokg,,a arnegger gmbh
1404,akcaktenvernichtung,,akcaktenvernichtung
1405,akeo plus,,a plus
1406,akerman senterfitt,,akerman senterfitt
1407,akeros,,akeros
1408,akheros,,akheros
1409,akheros sas,,ageo geometres experts sas
1410,aki gmbh,,a arnegger gmbh
1411,akiani,,akiani
1412,akidoor automatisme,,akidoor automatisme
1413,akif bektasevic gebaeudereinigung,,akif bektasevic gebaeudereinigung
1414,akin gump strauss hauer  feld llp,,aaron  partners llp
1415,akira mecaturbines,,akira mecaturbines
1416,akisteel,,akisteel
1417,akk id,,activium id
1418,akka,,akka
1419,akka consulting,,a a z consulting
1420,akka development uk,,a e petsche uk limited
1421,akka development uk limited,,a  t stationers private limited
1422,akka documentaire,,akka
1423,akka germany gmbh,,a arnegger gmbh
1424,akka group,,accessdata group inc
1425,akka group north america inc,,a and m portable inc
1426,akka group north america inc,,a and m portable inc
1427,akka groupe amerique du nord inc,,a and m portable inc
1428,akka high tech,,akka
1429,akka is,,akka
1430,akka is  groupe akka technologies,,akka
1431,akka informatique  systemes,,akka
1432,akka informatique et systemes,,a et p  lithos
1433,akka ing doc,,akka
1434,akka ingãânierie documentaire,,akka
1435,akka ingenierie documentaire,,akka
1436,akka ingenierie mecanique,,akka
1437,akka ingenierie produit,,akka
1438,akka middle east,,akka
1439,akka middle east dmcc,,akka
1440,akka middle east fzco,,akka
1441,akka octogon gmbh,,a arnegger gmbh
1442,akka technologie,,akka
1443,akka technologies,,a2f technologies
1444,akka technologies beijing co ltd,,a  d environmental services ltd
1445,akka technologies spain,,a2f technologies
1446,akkey,,akkey
1447,akkhrutha technocrats ltd,,a  d environmental services ltd
1448,akku power gmbh,,a arnegger gmbh
1449,akku sys akkumulator und batterietechnik,,a millitzer brandschutz und
1450,akku und batteriehandel oliver,,a millitzer brandschutz und
1451,akku und batteriehandel oliver heib,,a millitzer brandschutz und
1452,akkuhandel  reparatur,,akkuhandel  reparatur
1453,akkuline,,akkuline
1454,akkuplusde,,akkuplusde
1455,akkushop de,,ãâudea seguridad de la informaciãânsl
1456,akmtore gmbh,,a arnegger gmbh
1457,ako armaturen  separations gmbh,,a arnegger gmbh
1458,ako reinigungsbetriebe,,ako armaturen  separations gmbh
1459,akon werkzeuge gmbh  co kg,,a arnegger gmbh
1460,akracing e k,,a e petsche
1461,akrobit software gmbh,,a arnegger gmbh
1462,aksmesstechnik gmbh,,a arnegger gmbh
1463,akteos,,akteos
1464,aktor interactive,,aktor interactive
1465,aktor interactive sa,,a foubert visserie sa
1466,aktors o,,absolvent pl sp z o o
1467,akts ag,,aaronia ag
1468,akustikbãro oldenburg,,akustikbãro oldenburg
1469,akustike,,akustike
1470,akvola technologies gmbh,,a arnegger gmbh
1471,akzent hotel,,ao hotel and hostel
1472,akzent hotel roter lwe,,ao hotel and hostel
1473,akzent hotel schroeder,,ao hotel and hostel
1474,akzent hotel zur einkehr,,ao hotel and hostel
1475,akzente kommunikation,,akzente kommunikation
1476,akzente kommunikation und beratung gmbh,,a arnegger gmbh
1477,akzo nobel,,akzo nobel
1478,akzo nobel car refinishes bv,,aan bv
1479,al ain frames,,al ain frames
1480,al andalus sxxi sl,,accesos normalizados sl
1481,al industrie,,acrodur industrie
1482,al peasley photographer,,al ain frames
1483,al saad rent a car co,,ae logistik gmbh  co kg
1484,al tamimi  company,,a latter company ltd
1485,al technology,,aaa dornier technology co ltd
1486,alabama camellia society llc,,aa calibration services llc
1487,alabama hotels master tenant llc,,aa calibration services llc
1488,alabama industrial development,,abbey industrial solutions ltd
1489,alabama industrial products llc,,aa calibration services llc
1490,alabama kidney foundation inc,,a and m portable inc
1491,alabama pals,,alabama camellia society llc
1492,alabama power company,,a latter company ltd
1493,alabama scale  instrument inc,,a and m portable inc
1494,alabama state society,,alabama camellia society llc
1495,alain bonadei,,alain bonadei
1496,alain ducos les sentiers du lac,,afci association francaise du
1497,alain ernoult,,alain bonadei
1498,alain schepens class moto,,alain bonadei
1499,alamo,,alamo
1500,alamo flag inc,,a and m portable inc
1501,alan grey,,alan grey
1502,alan rutter ltd,,a  d environmental services ltd
1503,alans skip hire limited,,a  t stationers private limited
1504,alans skip hire ltd,,a  d environmental services ltd
1505,alava ingenieros sa,,a foubert visserie sa
1506,alava ingenieros sa,,a foubert visserie sa
1507,alava ingenieros sa,,a foubert visserie sa
1508,alava ingenieros sa,,a foubert visserie sa
1509,alba dept of conserv and natl,,a and m portable inc
1510,alba facility solutions gmbh,,a arnegger gmbh
1511,alba metall nord gmbh,,a arnegger gmbh
1512,alba nord gmbh,,a arnegger gmbh
1513,albadat consultora sl,,accesos normalizados sl
1514,albagli zaliasnik sa,,a foubert visserie sa
1515,albany door systems gmbh,,a arnegger gmbh
1516,albar et partners,,a et p  lithos
1517,albar partners,,aaron  partners llp
1518,albarone,,albarone
1519,albatros engineering gmbh,,a arnegger gmbh
1520,albatros promotora empresarial sa,,a foubert visserie sa
1521,albatros viajes incentivos sa,,a foubert visserie sa
1522,albatrossprojects gmbh,,a arnegger gmbh
1523,albeck  zehden hotel gmbh  co kg,,a arnegger gmbh
1524,albelektric huber gmbh,,a arnegger gmbh
1525,albert fezer maschinenfabrik gmbh,,a arnegger gmbh
1526,albert lankl,,albert fezer maschinenfabrik gmbh
1527,albert lankl bustouristik,,albert fezer maschinenfabrik gmbh
1528,albert laux praezisionswerkzeugbau gmbh,,a arnegger gmbh
1529,albert obermayr,,albert fezer maschinenfabrik gmbh
1530,albert schnetz ek,,albert fezer maschinenfabrik gmbh
1531,albert schumann gmbh,,a arnegger gmbh
1532,albert sewerin,,albert fezer maschinenfabrik gmbh
1533,albert transport,,albert fezer maschinenfabrik gmbh
1534,albert ziegler gmbh,,a arnegger gmbh
1535,alberteinsteinrealschule,,alberteinsteinrealschule
1536,alberti ulrich von,,aeb  gesellschaft zur entwicklung von branchenso
1537,albertludwigsuniversitaet imtek,,albertludwigsuniversitaet imtek
1538,alberto badiola,,alberto badiola
1539,alberto jorge carmena,,alberto badiola
1540,alberto molina,,alberto badiola
1541,albion alloys ltd,,a  d environmental services ltd
1542,albis hitec leasing ag,,aaronia ag
1543,albko metallhandel gmbh  co kg,,a arnegger gmbh
1544,albrecht catering,,albrecht catering
1545,albrecht stãrken gmbh  co kg,,a arnegger gmbh
1546,albrechtshof hotel betriebs,,ao hotel and hostel
1547,albrechtshof hotel betriebs gm,,ao hotel and hostel
1548,albrechtshof hotel betriebs gmbh,,a arnegger gmbh
1549,albret pourteau,,albret pourteau
1550,albright stonebridge group llc,,accessdata group inc
1551,alcaide engineering limited,,a  t stationers private limited
1552,alcaner 2000 sl,,accesos normalizados sl
1553,alcatel lucent,,alcatel lucent
1554,alcea,,alcea
1555,alcen,,alcen
1556,alcereco inc,,a and m portable inc
1557,alchemize ltd,,a  d environmental services ltd
1558,alcimed,,alcimed
1559,alcimed sas,,ageo geometres experts sas
1560,alcoa,,alcoa
1561,alcoa fasteners sas,,ageo geometres experts sas
1562,alcoa fastening systems,,aar defense systems  logistics uk
1563,alcoa fixations simmonds sas,,ageo geometres experts sas
1564,alcom industriesysteme gmbh,,a arnegger gmbh
1565,alcor system,,abl system
1566,alcore technologies,,a2f technologies
1567,alcrys fluidcontrol  services,,a  d environmental services ltd
1568,alcuin,,alcuin
1569,ald automotive,,ald automotive
1570,ald automotive  temsys,,ald automotive
1571,ald automotive sa,,a foubert visserie sa
1572,ald automotive sau,,ald automotive
1573,ald automotive temsys,,ald automotive
1574,aldacom gmbh,,a arnegger gmbh
1575,alders avionics  defence gmbh,,a arnegger gmbh
1576,alders electronic gmbh,,a arnegger gmbh
1577,aldershot town football club,,adfc  allg deutscher fahhrad club ev
1578,aldesign,,aldesign
1579,aldi verlag  albert dietl gmbh,,a arnegger gmbh
1580,aldini lda,,aldini lda
1581,alefeld avocat  rechtsanwalt,,alefeld avocat  rechtsanwalt
1582,alegrah,,alegrah
1583,alejandro bayon sandoval,,alejandro bayon sandoval
1584,aleksander rabczuk,,aleksander rabczuk
1585,alenia aermacchi spa,,agustawestland spa
1586,alerion societe d avocats,,alerion societe d avocats
1587,alerion societe davocats,,alerion societe d avocats
1588,aleris aluminum zhenjiang co ltd,,a  d environmental services ltd
1589,aleris rolled products,,abb automation products gmbh
1590,aleris rolled products germany,,accor hospitality germany gmbh
1591,alesia distribution,,adn distribution gmbh
1592,alessio castello,,alessio castello
1593,alex breuer gmbh,,a arnegger gmbh
1594,alex gmbh,,a arnegger gmbh
1595,alex gmbh itsysteme,,a arnegger gmbh
1596,alexander am zoo,,alexander am zoo
1597,alexander h levis,,alexander am zoo
1598,alexander hughes,,alexander am zoo
1599,alexander linke softwareberatung,,alexander am zoo
1600,alexander nolte,,alexander am zoo
1601,alexander renner gmbh  co kg,,a arnegger gmbh
1602,alexander von humboldt  das schiff,,alexander am zoo
1603,alfa aesar gmbh  co kg,,a arnegger gmbh
1604,alfa gmbh,,a arnegger gmbh
1605,alfa precision casting sa,,a foubert visserie sa
1606,alfa sprachreisen gmbh,,a arnegger gmbh
1607,alfa umzuege gmbh  co kg,,a arnegger gmbh
1608,alfabet ag,,aaronia ag
1609,alfacoustic,,alfacoustic
1610,alfacoustic ercuis,,alfacoustic
1611,alfacoustic sa,,a foubert visserie sa
1612,alfagomma germany gmbh,,a arnegger gmbh
1613,alfahosting gmbh,,a arnegger gmbh
1614,alfamedica policlinica,,alfamedica policlinica
1615,alfamo,,alfamo
1616,alfaro montero antonio,,alfaro montero antonio
1617,alfatronix ltd,,a  d environmental services ltd
1618,alfol aluminiumfolien,,alfol aluminiumfolien
1619,alfol gmbh,,a arnegger gmbh
1620,alfons original schweizer raclette,,alfons original schweizer raclette
1621,alfonso e francesca colombo,,a e petsche
1622,alfonso e francesca colombo notai,,a e petsche
1623,alfred arnold verladesysteme,,alfred arnold verladesysteme
1624,alfred demharter gmbh,,a arnegger gmbh
1625,alfred doepker gmbh co kg bauunternehmen,,a arnegger gmbh
1626,alfred feige gmbh,,a arnegger gmbh
1627,alfred hiller,,alfred arnold verladesysteme
1628,alfred jaeger gmbh,,a arnegger gmbh
1629,alfred kãrcher vertriebsgmbh,,alfred arnold verladesysteme
1630,alfred kaercher vertriebsgmbh,,alfred arnold verladesysteme
1631,alfred kaulfuss,,alfred arnold verladesysteme
1632,alfred konrad veith gmbh  co kg,,a arnegger gmbh
1633,alfred krcher vertriebsgmbh,,alfred arnold verladesysteme
1634,alfred kuhse gmbh,,a arnegger gmbh
1635,alfred lehner gmbh,,a arnegger gmbh
1636,alfred schneider gmbh,,a arnegger gmbh
1637,alfred then,,alfred arnold verladesysteme
1638,alfred traub,,alfred arnold verladesysteme
1639,alfred wegener institute,,alfred arnold verladesysteme
1640,alfred wimmer gmbh,,a arnegger gmbh
1641,alfredwegenerinstitut,,alfredwegenerinstitut
1642,alfresco software ltd,,a  d environmental services ltd
1643,alg gmbh,,a arnegger gmbh
1644,alga unternehmensberatung,,alga unternehmensberatung
1645,alga unternehmensberatung gmbh,,a arnegger gmbh
1646,algaunternehmensberatung gmbh,,a arnegger gmbh
1647,algeco,,algeco
1648,algeco construcciones modulares sl,,accesos normalizados sl
1649,algeco construcciones modulares slu,,ab servicos selecta espana slu
1650,algeco construcciones modulares slu,,ab servicos selecta espana slu
1651,algeco gmbh,,a arnegger gmbh
1652,algitech,,algitech
1653,algo tech informatique,,aec informatique
1654,algorithmia,,algorithmia
1655,algoss systems,,aar defense systems  logistics uk
1656,algotech informatique,,aec informatique
1657,algotech informatique,,aec informatique
1658,alhj maas sl,,accesos normalizados sl
1659,alhj manas sl,,accesos normalizados sl
1660,alho systembau gmbh,,a arnegger gmbh
1661,ali bashiri rad,,ali bashiri rad
1662,aliage,,aliage
1663,aliance developpement 1,,aliance developpement 1
1664,alibaba cloud computing co ltd,,a  d environmental services ltd
1665,alibert et fils,,a et p  lithos
1666,alicia hunsberger,,alicia hunsberger
1667,alicona,,alicona
1668,alidade,,alidade
1669,alienware,,alienware
1670,aliftrad sl,,accesos normalizados sl
1671,aligned vision,,aligned vision
1672,alinea strategie conseil,,ab conseil
1673,alineadesign,,alineadesign
1674,alinka media ltd,,a  d environmental services ltd
1675,alinka media ltd,,a  d environmental services ltd
1676,alinox sa,,a foubert visserie sa
1677,alis,,alis
1678,alis international,,a mai international
1679,alis technologie,,akka technologie
1680,alison price  company ltd,,a  d environmental services ltd
1681,alison price and company limited,,a  t stationers private limited
1682,alitalia,,alitalia
1683,alitalia societa aerea italiana s,,ab servicios selecta espaãâa s l
1684,alithis,,alithis
1685,alithis sarl,,abadie aluminium sarl
1686,alix partner,,aãfalg gaspard partner
1687,alix partners,,aaron  partners llp
1688,alixio,,alixio
1689,alixio change management,,aachen technical and management
1690,alixio change management sas,,ageo geometres experts sas
1691,alixio mobilite,,alixio
1692,alixpartners,,alixpartners
1693,alixpartners shanghai,,alixpartners shanghai
1694,alixpartners ulc,,alixpartners
1695,aljac fuelling components ltd,,a  d environmental services ltd
1696,aljac gmbh,,a arnegger gmbh
1697,aljamil,,aljamil
1698,aljamil sa,,a foubert visserie sa
1699,aljo aluminiumbau jonuscheit gmbh,,a arnegger gmbh
1700,alkan,,alkan
1701,alkan r et compagnie,,a et p  lithos
1702,alkan r et compagnie sa,,a foubert visserie sa
1703,alkan sas,,ageo geometres experts sas
1704,alkoto  thomas hirn,,alkoto  thomas hirn
1705,all,,all
1706,all a bloom florist  gifts,,a  d environmental services ltd
1707,all a bloom florist and gifts llc,,a  d environmental services ltd
1708,all contents,,all
1709,all for one steeb ag,,aaronia ag
1710,all lasertechnik gmbh,,a arnegger gmbh
1711,all mac v6,,all
1712,all metal services limited,,a  d environmental services ltd
1713,all metal services ltd,,a  d environmental services ltd
1714,all occasions group,,accessdata group inc
1715,all party parliamentary group,,accessdata group inc
1716,all products,,all
1717,all resort express,,all
1718,all star adventures dba,,all
1719,all2work gmbh,,a arnegger gmbh
1720,all4labels smart  secure gmbh,,a arnegger gmbh
1721,allard gmbh,,a arnegger gmbh
1722,allbuyone gmbh,,a arnegger gmbh
1723,allectra gmbh,,a arnegger gmbh
1724,allee hotel,,ao hotel and hostel
1725,alleehotel,,alleehotel
1726,allegheny technologies sas,,ageo geometres experts sas
1727,allegis group holdings inc dba,,a and m portable inc
1728,allegra of chantilly,,aapa  association of asia pacific
1729,allegra print signs design,,activium information design
1730,allegra print signs design,,activium information design
1731,allegria,,allegria
1732,allen  gledhill,,allen  gledhill
1733,allen  overy,,allen  gledhill
1734,allen  overy legal services,,a  d environmental services ltd
1735,allen  overy llp,,aaron  partners llp
1736,allen systems group,,accessdata group inc
1737,allende  brea sociedad civil,,allende  brea sociedad civil
1738,allenou herve,,allenou herve
1739,allens corporate services pty ltd,,a  d environmental services ltd
1740,alles fuer ihr fest gmbh,,a arnegger gmbh
1741,alles mit farbe gmbh,,a arnegger gmbh
1742,allesausschreibungen de,,ãâudea seguridad de la informaciãânsl
1743,allez et cie,,a et p  lithos
1744,allfast fastening systems inc,,a and m portable inc
1745,allfi wasserstrahltechnik gmbh,,a arnegger gmbh
1746,allgaeu events gmbh  co kg,,a arnegger gmbh
1747,allgaeu resort,,allgaeu events gmbh  co kg
1748,allgaeu resort gmbh,,a arnegger gmbh
1749,allgaeu stern hotel,,ao hotel and hostel
1750,allgaeuer messzentrum,,allgaeuer messzentrum
1751,allgaier gmbh,,a arnegger gmbh
1752,allgeier business services gmbh,,a arnegger gmbh
1753,allgeier it solutions gmbh,,a arnegger gmbh
1754,allgem industriecommerz,,allgem industriecommerz
1755,allgemeine gold und silberscheideanstalt,,a millitzer brandschutz und
1756,allgemeiner turn und sportverein,,a millitzer brandschutz und
1757,allgemeiner verband der wirtschaft,,aippi  deutsche landesgruppe der aippi
1758,allguhotel memmingen nord,,adezif nord
1759,alliance automotive marseille,,alliance automotive marseille
1760,alliance concept,,alliance automotive marseille
1761,alliance foret bois,,alliance automotive marseille
1762,alliance francaise,,alliance automotive marseille
1763,alliance francaise bangalore,,alliance automotive marseille
1764,alliance francaise de kotte,,ãâudea seguridad de la informaciãânsl
1765,alliance froid cuisine,,alliance automotive marseille
1766,alliance law firm,,alliance automotive marseille
1767,alliance material handling inc,,a and m portable inc
1768,alliance mobility,,alliance automotive marseille
1769,alliance pornic,,alliance automotive marseille
1770,alliance pour la confiance numeriqu,,a la une
1771,alliance solutions,,abalia solutions sl
1772,alliance world shipping srl,,alliance automotive marseille
1773,alliantech,,alliantech
1774,alliantech sas,,ageo geometres experts sas
1775,allianz,,allianz
1776,allianz china general insurance,,allianz
1777,allianz fãr sicherheit in der wirtschaft,,aippi  deutsche landesgruppe der aippi
1778,allianz fr sicherheit,,akademie fuer sicherheit
1779,allianz global corporate,,allianz
1780,allianz jingdong general insurance,,allianz
1781,allianz treuhand gmbh,,a arnegger gmbh
1782,allianzes,,allianzes
1783,allibert buckhorn france,,abb france
1784,allici,,allici
1785,allied business associates,,abc business
1786,allied conference,,allied business associates
1787,allied defense services,,a  d environmental services ltd
1788,allied electronics,,allied business associates
1789,allied infrastructure management,,aachen technical and management
1790,allied maintenance,,allied business associates
1791,allied supply chain management,,aachen technical and management
1792,allied taxicabs llc,,aa calibration services llc
1793,allington hughes,,alexander hughes
1794,allisto,,allisto
1795,allmaticjakob gmbh  co,,a arnegger gmbh
1796,allmech  technik fãr industrie  schiffahrt,,acrodur industrie
1797,allmech  technik fuer industrie  schiffahrt,,aba arbeitsgemeinschaft fuer betrieb
1798,allmech gmbh,,a arnegger gmbh
1799,allmech technik f industrie u,,acrodur industrie
1800,allmendinger elektromechanik kg,,ae logistik gmbh  co kg
1801,allmos electronic gmbh,,a arnegger gmbh
1802,allnet gmbh,,a arnegger gmbh
1803,allo photo,,allo photo
1804,allo taxis,,agrupacion local de taxis
1805,allparty parliamentary corporate,,ahi corporate housing
1806,allpax gmbh  co kg,,a arnegger gmbh
1807,allpax gmbh  co kg,,a arnegger gmbh
1808,allplan,,allplan
1809,allplan deutschland gmbh,,a arnegger gmbh
1810,allplan france sarl,,abb france
1811,allport packaging ltd,,a  d environmental services ltd
1812,allresto flughafen mãnchen,,allresto flughafen mãnchen
1813,allresto flughafen muenchen,,aera verlag muenchen gmbh
1814,allround service,,ab engineering mechanical service division limited
1815,allsafe gmbh  co kg,,a arnegger gmbh
1816,allsafe jungfalk gmbh  co kg,,a arnegger gmbh
1817,allsat gmbh,,a arnegger gmbh
1818,allstar,,allstar
1819,allstar adventures,,all star adventures dba
1820,alltec gmbh,,a arnegger gmbh
1821,alltranspack,,alltranspack
1822,alltranspack inc,,a and m portable inc
1823,alltronic,,alltronic
1824,allube ltd,,a  d environmental services ltd
1825,alluris gmbh  co kg,,a arnegger gmbh
1826,alm familie rohrmoser,,alm familie rohrmoser
1827,alm formation 31,,a2com formation
1828,alm media llc,,aa calibration services llc
1829,alm siebenhuetten,,alm familie rohrmoser
1830,alma,,alma
1831,alma consulting group,,accessdata group inc
1832,alma service,,ab engineering mechanical service division limited
1833,almacenes emilio muoz sl,,accesos normalizados sl
1834,almadepartement sapex,,almadepartement sapex
1835,almatec maschinenbau gmbh,,a arnegger gmbh
1836,almatech sarl,,abadie aluminium sarl
1837,almay sa,,a foubert visserie sa
1838,almay technologies,,a2f technologies
1839,almetron ltd,,a  d environmental services ltd
1840,almocar hornung gmbh,,a arnegger gmbh
1841,almudena valiente daza,,almudena valiente daza
1842,aloft hotel,,ao hotel and hostel
1843,aloha college,,aloha college
1844,alois dallmayr,,alois dallmayr
1845,alois dallmayr automatenservice,,alois dallmayr
1846,alois killisperger,,alois dallmayr
1847,alois miller,,alois dallmayr
1848,alois miller gmbh,,a arnegger gmbh
1849,alois mueller,,alois dallmayr
1850,alos gmbh,,a arnegger gmbh
1851,alouette helicoptere worldwide sces,,alouette helicoptere worldwide sces
1852,alp construction,,acmh  ateliers construction
1853,alpc coaching,,acp coaching
1854,alpenclub schliersee,,alpenclub schliersee
1855,alpenhotel mbh  co kg,,ae logistik gmbh  co kg
1856,alpenhotel weiherbach,,alpenhotel mbh  co kg
1857,alpenhotel zechmeisterlehen,,alpenhotel mbh  co kg
1858,alpenjaeger reisen gmbh,,a arnegger gmbh
1859,alpenmaykestag gmbh,,a arnegger gmbh
1860,alpenparks,,alpenparks
1861,alpenrose,,alpenrose
1862,alpers joachim gmbh,,a arnegger gmbh
1863,alpex,,alpex
1864,alpex technologies gmbh,,a arnegger gmbh
1865,alpha assembly solutions france sas,,ageo geometres experts sas
1866,alpha com,,alpha assembly solutions france sas
1867,alpha com deutschland gmbh,,a arnegger gmbh
1868,alpha computer systems gmbh,,a arnegger gmbh
1869,alpha crux,,alpha assembly solutions france sas
1870,alpha immobilien consulting gmbh,,a arnegger gmbh
1871,alpha rlh,,alpha assembly solutions france sas
1872,alpha sign sa,,a foubert visserie sa
1873,alpha signs gmbh,,a arnegger gmbh
1874,alpha taxenbetriebs gmbh,,a arnegger gmbh
1875,alpha taxis,,alpha assembly solutions france sas
1876,alphabeta sg pte ltd,,a  d environmental services ltd
1877,alphabeta sg pte ltd,,a  d environmental services ltd
1878,alphacam,,alphacam
1879,alphacam fertigungssoftware,,alphacam
1880,alphacam fertigungssoftware gmbh,,a arnegger gmbh
1881,alphacam gmbh,,a arnegger gmbh
1882,alphai,,alphai
1883,alphai limited,,a  t stationers private limited
1884,alphanov optics and lasers tec,,a and m portable inc
1885,alphapumpentechnik gmbh,,a arnegger gmbh
1886,alphare,,alphare
1887,alphasign,,alphasign
1888,alphasign sarl,,abadie aluminium sarl
1889,alphasystems gmbh,,a arnegger gmbh
1890,alphatec krimpmann gmbh,,a arnegger gmbh
1891,alphatech ltd,,a  d environmental services ltd
1892,alphcam gmbh,,a arnegger gmbh
1893,alpinatec gmbh,,a arnegger gmbh
1894,alpine bau deutschland ag,,aaronia ag
1895,alpine metal tech uk limited,,a  t stationers private limited
1896,alpiq energie france sas,,ageo geometres experts sas
1897,alpred sl,,accesos normalizados sl
1898,alptech elektronik gmbh,,a arnegger gmbh
1899,alquibalat s l,,ab servicios selecta espaãâa s l
1900,alr,,alr
1901,alr rugged solutions gmbh,,a arnegger gmbh
1902,alris,,alris
1903,alro,,alro
1904,alro alois rothenhaeusler,,alois dallmayr
1905,alroy microwaveelectronics ltd,,a  d environmental services ltd
1906,alroy sheet metals ltd,,a  d environmental services ltd
1907,als,,als
1908,als design,,activium information design
1909,als gmbh,,a arnegger gmbh
1910,als life sciences limited,,a  t stationers private limited
1911,als life sciences ltd,,a  d environmental services ltd
1912,alsace timbres,,alsace timbres
1913,alse,,alse
1914,alsterarbeit,,alsterarbeit
1915,alsterarbeit ggmbh hamburg,,alsterarbeit
1916,alsterarbeit gmbh hamburg,,a arnegger gmbh
1917,alsterdorfer werkstaetten,,alsterdorfer werkstaetten
1918,alstermarkt,,alstermarkt
1919,alstertaler schrauben,,alstertaler schrauben
1920,alston refrigeration co inc,,ae logistik gmbh  co kg
1921,alt 92 documentation technique,,alt 92 documentation technique
1922,alta,,alta
1923,alta gmbh schnoor eleven,,a arnegger gmbh
1924,altaix,,altaix electronica  sal
1925,altaix electronica sal,,altaix electronica  sal
1926,altana,,altana
1927,altana selarl,,altana
1928,altares d b,,a  d environmental services ltd
1929,altares db,,altares d b
1930,altariva ymca,,altariva ymca
1931,altaven,,altaven
1932,altaven sas,,ageo geometres experts sas
1933,altbayerische kueche,,altbayerische kueche
1934,alte apotheke,,alte apotheke
